ID,order_ID,productName,quantity,unitPrice,totalPrice
6a7b8c9d-0001-4e5f-a1b2-000000000001,5e4f1a2b-0001-4c3d-8e9f-000000000001,Laptop Pro,2,5000.00,10000.00
6a7b8c9d-0002-4e5f-a1b2-000000000002,5e4f1a2b-0001-4c3d-8e9f-000000000001,Mouse,10,100.00,1000.00
6a7b8c9d-0003-4e5f-a1b2-000000000003,5e4f1a2b-0001-4c3d-8e9f-000000000001,Keyboard,10,400.00,4000.00
6a7b8c9d-0004-4e5f-a1b2-000000000004,5e4f1a2b-0002-4c3d-8e9f-000000000002,Monitor 27,5,1500.00,7500.00
6a7b8c9d-0005-4e5f-a1b2-000000000005,5e4f1a2b-0002-4c3d-8e9f-000000000002,HDMI Cable,10,100.05,1000.50
6a7b8c9d-0006-4e5f-a1b2-000000000006,5e4f1a2b-0003-4c3d-8e9f-000000000003,Server Rack,2,8000.00,16000.00
6a7b8c9d-0007-4e5f-a1b2-000000000007,5e4f1a2b-0003-4c3d-8e9f-000000000003,Network Switch,3,2000.00,6000.00
6a7b8c9d-0008-4e5f-a1b2-000000000008,5e4f1a2b-0004-4c3d-8e9f-000000000004,USB Hub,5,150.00,750.00
6a7b8c9d-0009-4e5f-a1b2-000000000009,5e4f1a2b-0004-4c3d-8e9f-000000000004,Webcam HD,10,400.00,4000.00
6a7b8c9d-0010-4e5f-a1b2-000000000010,5e4f1a2b-0005-4c3d-8e9f-000000000005,Laptop Pro,4,5000.00,20000.00
6a7b8c9d-0011-4e5f-a1b2-000000000011,5e4f1a2b-0005-4c3d-8e9f-000000000005,Docking Station,6,1200.00,7200.00
6a7b8c9d-0012-4e5f-a1b2-000000000012,5e4f1a2b-0005-4c3d-8e9f-000000000005,Monitor 27,2,2000.00,4000.00
